"","var_1","var_2","intercept_est","slope_est","p_value","n"
"42","coworkers_happier","depressive_tendencies",2.07068530827413,0.247215218886088,3.25122756176134e-06,303
"43","Depressed_while_at_work","searching_new_employment",1.16614914224957,0.470273644341704,3.23200572625343e-25,329
"44","Depressed_while_at_work","personal_satisfaction",4.801314097986,-0.64690758463077,8.70566779932871e-29,330
"45","Depressed_while_at_work","go_above",4.26874825759687,-0.426819068859774,9.71879801442157e-10,318
"46","Depressed_while_at_work","use_time_efficient",3.81246169560775,-0.323799795709906,1.30041308869929e-05,319
"47","Depressed_while_at_work","fatigued",1.09090291921249,0.542362525458249,9.92669494628148e-11,317
"48","Depressed_while_at_work","lonely",1.21099353026732,0.590450875169266,2.06250151903353e-17,309
"49","Depressed_while_at_work","difficult_to_concentrate",1.59566448175115,0.364613451611439,7.5376556580278e-11,318
"50","Depressed_while_at_work","efficiency_compared_to_peers",1.7163705322175,0.381508430556129,7.26589069085315e-09,318
"51","Depressed_while_at_work","positive_feedback",3.75309015799548,-0.3031869450963,9.0641624259476e-06,319
"52","Depressed_while_at_work","motivated",4.92841257186019,-0.594939364693048,1.30701915833581e-20,319
"53","Depressed_while_at_work","other_better_lives",1.09235826988557,0.484424815527317,5.75513451398472e-16,313
"54","Depressed_while_at_work","depressive_tendencies",1.09873930247538,0.611070212570167,2.85258843505685e-21,302
"55","Depressed_while_at_work","bad_sleep",1.53190991115091,0.363193057373098,1.44451377243637e-06,307
"56","Depressed_while_at_work","stress_level",1.2046030817242,0.584064755217479,4.2570872654681e-12,294
"57","searching_new_employment","personal_satisfaction",4.85517636937195,-0.55678233438486,4.09684377911049e-16,329
"58","searching_new_employment","lonely",2.10968783095467,0.342679913258361,2.92014803527224e-05,308
"59","searching_new_employment","motivated",4.45978995222359,-0.393660682339571,1.81814924759159e-07,318
"60","searching_new_employment","other_better_lives",1.97677664974619,0.301586294416243,1.80541789728815e-05,312
"61","searching_new_employment","depressive_tendencies",2.03383162863886,0.355625491738787,5.01752228650944e-06,301
"62","personal_satisfaction","go_above",1.84565496325674,0.414534002099613,7.55858042769819e-12,318
"63","personal_satisfaction","use_time_efficient",2.15388540231645,0.349252512883309,5.30414694354334e-08,319
"64","personal_satisfaction","difficult_to_concentrate",4.05428454159889,-0.204543727102748,4.3469046769072e-05,318
"65","personal_satisfaction","motivated",1.17764183250457,0.584293726608639,2.00886400590563e-26,319
"66","personal_satisfaction","other_better_lives",4.15165928007783,-0.204968832198322,0.000137822476754335,313
"67","go_above","use_time_efficient",1.5090049441401,0.647199379758263,4.64919642475793e-35,319
"68","go_above","fatigued",4.86785357342504,-0.304321311808649,4.81230357994582e-06,317
"69","go_above","difficult_to_concentrate",4.75271258001542,-0.268761065964498,9.7938676532632e-10,318
"70","go_above","efficiency_compared_to_peers",4.9134369060408,-0.397942318816626,2.95575641008831e-15,318
"71","go_above","positive_feedback",2.99128751210068,0.265569538560827,8.67083813060735e-07,319
"72","go_above","motivated",2.18085139755936,0.467076575587416,7.24479080072081e-21,319
"73","go_above","depressive_tendencies",4.55256551978258,-0.204539173690755,0.000139538933298101,302
"74","go_above","phone_at_work_time",4.19528414205651,-0.209890524726312,2.42784464516588e-05,311
"75","use_time_efficient","difficult_to_concentrate",4.66117796073464,-0.279290690310322,2.03484051380475e-11,319
"76","use_time_efficient","efficiency_compared_to_peers",4.70217793301829,-0.354633244298334,2.04036288331772e-13,319
"77","use_time_efficient","motivated",2.54908787657668,0.346043990409674,1.46227924074369e-12,320
"78","fatigued","lonely",2.01407486305539,0.298044735240414,7.23740770714689e-11,308
"79","fatigued","difficult_to_concentrate",2.05456892534965,0.240106326909415,4.07932363755891e-11,317
"80","fatigued","efficiency_compared_to_peers",2.17821249844906,0.230799454071715,7.9801596891047e-08,317
"81","fatigued","motivated",3.39298718245531,-0.178130195946371,4.78760175417745e-05,318
"82","fatigued","other_better_lives",1.97786653963135,0.235406207629448,3.00273003142103e-09,312
