"","var_1","var_2","intercept_est","slope_est","p_value","n"
"60","coworkers_happier","Depressed_while_at_work",2.04580071434747,0.255429107331704,1.66881280393414e-09,331
"61","coworkers_happier","searching_new_employment",2.06790792645062,0.21371209649409,1.62199557321253e-08,330
"62","coworkers_happier","personal_satisfaction",3.38311458591289,-0.196076697208761,7.79933824410207e-05,331
"63","coworkers_happier","go_above",3.33420952072163,-0.162391875774383,0.00372812369327121,319
"64","coworkers_happier","use_time_efficient",3.30358817119834,-0.159250437118313,0.00660181487070442,320
"65","coworkers_happier","fatigued",2.30912036724498,0.135117801930736,0.0456694056590251,318
"66","coworkers_happier","lonely",2.16028989129078,0.230763463701112,4.10206206531263e-05,310
"67","coworkers_happier","difficult_to_concentrate",2.41952411110106,0.0982387888657682,0.0296503703569943,319
"68","coworkers_happier","efficiency_compared_to_peers",2.12032052599137,0.257242654612698,7.85566775446039e-07,319
"69","coworkers_happier","motivated",3.1030543104347,-0.10618159074325,0.0464403859548249,320
"70","coworkers_happier","other_better_lives",2.05794407628899,0.206589084639835,1.64553370007209e-05,314
"71","coworkers_happier","depressive_tendencies",2.07068530827413,0.247215218886088,3.25122756176134e-06,303
"72","coworkers_happier","house_income_midpoint",2.87545116309205,-2.30598688869871e-06,0.034544314207775,273
"73","Depressed_while_at_work","searching_new_employment",1.16614914224957,0.470273644341704,3.23200572625343e-25,329
"74","Depressed_while_at_work","personal_satisfaction",4.801314097986,-0.64690758463077,8.70566779932871e-29,330
"75","Depressed_while_at_work","go_above",4.26874825759687,-0.426819068859774,9.71879801442157e-10,318
"76","Depressed_while_at_work","use_time_efficient",3.81246169560775,-0.323799795709906,1.30041308869929e-05,319
"77","Depressed_while_at_work","fatigued",1.09090291921249,0.542362525458249,9.92669494628148e-11,317
"78","Depressed_while_at_work","lonely",1.21099353026732,0.590450875169266,2.06250151903353e-17,309
"79","Depressed_while_at_work","difficult_to_concentrate",1.59566448175115,0.364613451611439,7.5376556580278e-11,318
"80","Depressed_while_at_work","efficiency_compared_to_peers",1.7163705322175,0.381508430556129,7.26589069085315e-09,318
"81","Depressed_while_at_work","positive_feedback",3.75309015799548,-0.3031869450963,9.0641624259476e-06,319
"82","Depressed_while_at_work","motivated",4.92841257186019,-0.594939364693048,1.30701915833581e-20,319
"83","Depressed_while_at_work","other_better_lives",1.09235826988557,0.484424815527317,5.75513451398472e-16,313
"84","Depressed_while_at_work","depressive_tendencies",1.09873930247538,0.611070212570167,2.85258843505685e-21,302
"85","Depressed_while_at_work","bad_sleep",1.53190991115091,0.363193057373098,1.44451377243637e-06,307
"86","Depressed_while_at_work","phone_at_work_time",2.42027470453292,0.163457908644772,0.0108006772786646,311
"87","Depressed_while_at_work","stress_level",1.2046030817242,0.584064755217479,4.2570872654681e-12,294
"88","Depressed_while_at_work","mobile_per_day",2.33209229215906,0.0999277174786024,0.0448731489418453,312
"89","Depressed_while_at_work","house_income_midpoint",2.7923631682944,-3.06073583452225e-06,0.0237703734510118,272
